"Total.Cup.Points","altitude_mean_meters_adj","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Caturra","variety_adj_Typica","Non_Tropical","mean_temp"
82.33,950,0,0,0,1,"Other",0,0,0,0,9.50733333333333
82,1400,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
82.58,1650,0,0,0,0,"Other",0,0,0,0,9.6065
83.42,1450,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
86.92,1250,0,0,0,0,"Bourbon",1,0,0,0,9.516
79.67,1264,0,0,0,1,"Other",0,0,0,1,9.50733333333333
76.42,1100,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
84.58,1100,0,0,1,0,"Other",0,0,0,0,9.516
80.42,1700,0,0,0,1,"Other",0,0,0,1,9.6065
83.25,1483,0,0,0,0,"Caturra",0,1,0,0,9.57066666666667
80.83,100,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
83.5,940,0,0,1,0,"Typica",0,0,1,1,9.50733333333333
84.17,1850,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
82.83,1500,0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
80.25,4287,0,0,0,0,"Other",0,0,0,0,9.57066666666667
81.08,1642,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
81.83,1250,1,0,0,0,"Other",0,0,0,0,9.831
82.83,1200,1,0,0,0,"Other",0,0,0,1,9.57066666666667
84.08,1550,0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
81,1100,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
80.75,1300,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
81.92,1000,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
79.5,1100,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83.67,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
79.75,1300,0,0,0,1,"Bourbon",1,0,0,1,9.6065
82.67,1700,0,0,0,1,"Other",0,0,0,0,9.57066666666667
82.92,1200,0,0,0,1,"Other",0,0,0,0,9.831
81.5,1250,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
83.83,1200,0,0,1,0,"Bourbon",1,0,0,0,9.831
71,1800,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
81.83,4001,0,0,0,1,"Other",0,0,0,0,9.831
82.75,1500,0,0,0,1,"Other",0,0,0,1,9.831
81.25,464.5152,0,0,0,1,"Caturra",0,1,0,0,9.6065
82.25,533,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
82.5,800,0,0,0,1,"Other",0,0,0,0,9.57066666666667
83.67,1100,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
79,12,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
78.67,1150,0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
79.75,600,0,0,0,1,"Typica",0,0,1,1,9.6065
