"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Caturra","variety_adj_Typica","Non_Tropical","mean_temp"
89.92,2075,"Ethiopia","2014","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
88.83,2075,"Ethiopia","2014","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
87.92,1872,"United States","2014","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,1,9.57066666666667
87.25,1450,"China","2015","Catimor","Washed / Wet",0,0,0,1,"Other",0,0,0,1,9.831
87.17,1300,"Costa Rica","2014","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
86.83,1950,"Uganda","2013","SL14","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.6065
86.25,1775,"Ethiopia","2014","","Natural / Dry",0,0,0,0,"Other",0,0,0,0,9.57066666666667
86.25,1800,"Kenya","2013","SL34","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.6065
86,1650,"Uganda","2012","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.50733333333333
85.92,1650,"Uganda","2013","SL14","Natural / Dry",0,0,0,0,"Other",0,0,0,0,9.6065
85.83,1900,"Ethiopia","2014","","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
85.58,1500,"El Salvador","2013","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.6065
85.5,1900,"Kenya","2014","SL28","Natural / Dry",0,0,0,0,"Other",0,0,0,0,9.57066666666667
85.42,1950,"Uganda","2013","SL14","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.6065
85.33,1600,"Kenya","2012","SL34","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.50733333333333
85.25,1550,"Colombia","2015","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.831
85.17,1325,"Indonesia","2012","Sumatra Lintong","Semi-washed / Semi-pulped",0,0,1,0,"Other",0,0,0,0,9.50733333333333
85.08,2560,"Colombia","2015","Caturra","Natural / Dry",0,0,0,0,"Caturra",0,1,0,0,9.831
85.08,1700,"Ethiopia","2014","","Natural / Dry",0,0,0,0,"Other",0,0,0,0,9.57066666666667
85,1580,"Kenya","2012","SL34","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.50733333333333
84.92,1775,"Colombia","2015","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.831
84.92,1620,"Tanzania, United Republic Of","2014","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
84.83,1650,"Uganda","2013","SL14","Natural / Dry",0,0,0,0,"Other",0,0,0,0,9.6065
84.67,1150,"Costa Rica","2015","Catuai","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.831
84.67,1900,"Ethiopia","2014","Ethiopian Yirgacheffe","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
84.67,1750,"Costa Rica","2014","Other","Other",1,0,0,0,"Other",0,0,0,0,9.57066666666667
84.67,1550,"Colombia","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
84.67,1200,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
84.58,371.61216,"Guatemala","2014","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
84.5,1350,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
84.33,442,"Colombia","2015","Caturra","Natural / Dry",0,0,0,0,"Caturra",0,1,0,0,9.831
84.25,1400,"China","2015","Catimor","Natural / Dry",0,0,0,0,"Other",0,0,0,1,9.831
84.25,1775,"Colombia","2015","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.831
84.25,1620,"Tanzania, United Republic Of","2014","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
84.25,1450,"Mexico","2012","Typica","Semi-washed / Semi-pulped",0,0,1,0,"Typica",0,0,1,1,9.50733333333333
84.25,1700,"Uganda","2012","Other","Natural / Dry",0,0,0,0,"Other",0,0,0,0,9.50733333333333
84.17,1775,"Colombia","2015","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.831
84.17,1000,"Nicaragua","2015","Caturra","Natural / Dry",0,0,0,0,"Caturra",0,1,0,0,9.831
84.17,1606.5,"Ethiopia","2014","Gesha","Natural / Dry",0,0,0,0,"Other",0,0,0,0,9.57066666666667
84.17,1400,"Tanzania, United Republic Of","2014","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
84.17,250.5,"Kenya","2013","SL28","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.6065
84.17,1500,"El Salvador","2013","Bourbon","Natural / Dry",0,0,0,0,"Bourbon",1,0,0,0,9.6065
84,1600,"Colombia","2015","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.831
84,371.61216,"Guatemala","2014","Bourbon","Other",1,0,0,0,"Bourbon",1,0,0,0,9.57066666666667
84,1450,"Colombia","2014","Caturra","Natural / Dry",0,0,0,0,"Caturra",0,1,0,0,9.57066666666667
84,1775,"Colombia","2014","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
84,1260,"Brazil","2014","Yellow Bourbon","Natural / Dry",0,0,0,0,"Other",0,0,0,0,9.57066666666667
84,1700,"Colombia","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
84,1200,"Kenya","2012","SL34","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.50733333333333
84,1700,"Uganda","2012","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.50733333333333
83.92,1400,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83.83,1850,"Costa Rica","2015","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.831
83.83,525,"Taiwan","2014","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.57066666666667
83.83,1750,"Colombia","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
83.75,1650,"China","2015","Catimor","Washed / Wet",0,0,0,1,"Other",0,0,0,1,9.831
83.75,1750,"Colombia","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
83.75,1750,"Colombia","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
83.75,1300,"Guatemala","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
83.67,413.51143104,"Guatemala","2014","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
83.67,1750,"Colombia","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
83.67,1900,"Colombia","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
83.67,1400,"Indonesia","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,0,9.50733333333333
83.58,1775,"Colombia","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
83.58,2136,"Colombia","2012","Caturra","Natural / Dry",0,0,0,0,"Caturra",0,1,0,0,9.50733333333333
83.5,1500,"Indonesia","2015","Sumatra","Semi-washed / Semi-pulped",0,0,1,0,"Other",0,0,0,0,9.831
83.5,1750,"Colombia","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
83.5,464.5152,"Guatemala","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
83.42,1800,"Uganda","2015","SL14","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.831
83.42,442,"Colombia","2015","Caturra","Natural / Dry",0,0,0,0,"Caturra",0,1,0,0,9.831
83.42,1600,"Tanzania, United Republic Of","2014","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
83.42,1500,"Guatemala","2014","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
83.42,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.6065
83.33,1200,"Mexico","2014","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,1,9.57066666666667
83.33,1700,"Tanzania, United Republic Of","2014","Other","Semi-washed / Semi-pulped",0,0,1,0,"Other",0,0,0,0,9.57066666666667
83.33,1100,"Mexico","2013","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,1,9.6065
83.33,1000,"Colombia","2013","Caturra","Natural / Dry",0,0,0,0,"Caturra",0,1,0,0,9.6065
83.33,1880,"Burundi","2012","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
83.33,1750,"Colombia","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
83.25,1500,"Guatemala","2014","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
83.25,1300,"Mexico","2013","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,1,9.6065
83.25,399.483072,"Guatemala","2012","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
83.25,175,"Colombia","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
83.25,1775,"Colombia","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
83.17,1600,"China","2015","Catimor","Washed / Wet",0,0,0,1,"Other",0,0,0,1,9.831
83.17,800,"Thailand","2014","","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
83.17,1653,"Tanzania, United Republic Of","2014","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
83.17,1775,"Colombia","2014","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
83.17,1800,"Uganda","2014","SL14","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
83.17,1450,"Honduras","2013","Catuai","Natural / Dry",0,0,0,0,"Other",0,0,0,0,9.6065
83.17,464.5152,"Guatemala","2014","Catuai","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
83.17,1800,"Tanzania, United Republic Of","2014","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
83.17,1500,"Mexico","2013","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.6065
83.17,1380,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83.17,427.353984,"Guatemala","2012","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
83,1500,"Guatemala","2015","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.831
83,1750,"Colombia","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
83,1000,"Colombia","2013","Caturra","Natural / Dry",0,0,0,0,"Caturra",0,1,0,0,9.6065
