"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical"
90.58,2075,"Ethiopia","2014","","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0
87.58,2080,"United States","2014","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1
87.25,1850,"Ethiopia","2014","Ethiopian Yirgacheffe","Natural / Dry",8,0,0,0,0,0,"Other",0,0,0,0,0,0
86.17,1941,"United States","2014","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1
86.17,1300,"Thailand","2012","Caturra","Washed / Wet",10,0,0,0,0,1,"Caturra",0,0,1,0,0,0
86.08,1250,"Brazil","2011","Bourbon","Semi-washed / Semi-pulped",2,0,0,0,1,0,"Bourbon",1,0,0,0,0,0
86,1200,"Colombia","2013","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0
86,1860,"Kenya","2013","SL28","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0
85.92,1800,"Colombia","2013","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0
85.5,1900,"Kenya","2014","SL28","Natural / Dry",3,0,0,0,0,0,"Other",0,0,0,0,0,0
85.33,1700,"China","2015","Catimor","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,1
85.33,1300,"Costa Rica","2014","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0
85.33,1200,"Kenya","2012","SL34","Washed / Wet",6,0,0,0,0,1,"Other",0,0,0,0,0,0
85.17,1325,"Indonesia","2012","Sumatra Lintong","Semi-washed / Semi-pulped",3,0,0,0,1,0,"Other",0,0,0,0,0,0
85.17,1400,"Guatemala","2012","Caturra","Washed / Wet",7,0,0,0,0,1,"Caturra",0,0,1,0,0,0
85,1800,"Uganda","2016","SL14","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0
84.92,1775,"Colombia","2015","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0
