"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","dist_equator"
90.58,2075,"Ethiopia","2014","","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,9.145
87.92,1872,"United States","2014","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1,37.09024
87.25,1450,"China","2015","Catimor","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1,35.86166
87.17,1300,"Costa Rica","2014","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.748917
87.08,2112,"United States","2014","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1,37.09024
86.92,1250,"Brazil","2011","Bourbon","Natural / Dry",2,0,0,0,0,0,"Bourbon",1,0,0,0,0,0,14.235004
86.83,1950,"Uganda","2013","SL14","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0,1.373333
86.58,1200,"Taiwan","2015","Sumatra","Pulped natural / honey",0,0,0,1,0,0,"Other",0,0,0,0,0,1,23.69781
86.33,1300,"Costa Rica","2015/2016","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.748917
86.25,1775,"Ethiopia","2014","","Natural / Dry",3,0,0,0,0,0,"Other",0,0,0,0,0,0,9.145
85.83,431.999136,"Guatemala","2012","Catuai","Washed / Wet",1,0,0,0,0,1,"Catuai",0,1,0,0,0,0,15.783471
85.75,1700,"Papua New Guinea","2012","","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0,6.314993
85.58,1500,"El Salvador","2013","Bourbon","Washed / Wet",3,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,13.794185
85.58,1350,"El Salvador","2012","Bourbon","Semi-washed / Semi-pulped",0,0,0,0,1,0,"Bourbon",1,0,0,0,0,0,13.794185
85.5,527.6892672,"Guatemala","2013","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
85.33,1300,"Costa Rica","2014","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.748917
85.25,1550,"Colombia","2015","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
85,1900,"Costa Rica","2016","Catuai","Washed / Wet",2,1,0,0,0,1,"Catuai",0,1,0,0,0,0,9.748917
85,1,"Kenya","2015","","Washed / Wet",7,5,0,0,0,1,"Other",0,0,0,0,0,0,0.023559
84.92,1775,"Colombia","2015","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
84.92,1620,"Tanzania, United Republic Of","2014","Other","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,0,NA
84.92,1200,"Mexico","2012","Typica","Semi-washed / Semi-pulped",0,0,0,0,1,0,"Typica",0,0,0,1,0,1,23.634501
84.92,1200,"Brazil","2011","Bourbon","Natural / Dry",2,0,0,0,0,0,"Bourbon",1,0,0,0,0,0,14.235004
84.67,1750,"Costa Rica","2014","Other","Other",1,0,1,0,0,0,"Other",0,0,0,0,0,0,9.748917
84.58,1800,"Kenya","2013","Peaberry","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,0,0.023559
84.58,371.61216,"Guatemala","2014","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
84.58,1550,"Colombia","2013","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
84.5,1200,"Costa Rica","2017 / 2018","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.748917
84.5,1100,"China","2013","Other","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,1,35.86166
84.5,2000,"Kenya","2012","SL28","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,0.023559
84.42,1775,"Colombia","2014","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
84.42,900,"Mexico","2012","Pacamara","Washed / Wet",6,0,0,0,0,1,"Other",0,0,0,0,0,1,23.634501
84.33,1800,"Kenya","2017 / 2018","SL28","Washed / Wet",4,0,0,0,0,1,"Other",0,0,0,0,0,0,0.023559
84.25,1000,"Taiwan","2016","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.69781
84.25,1200,"Thailand","2015","Catimor","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,0,15.870032
84.25,2560,"Colombia","2016","Caturra","Natural / Dry",2,0,0,0,0,0,"Caturra",0,0,1,0,0,0,4.570868
84.25,1400,"China","2015","Catimor","Natural / Dry",1,0,0,0,0,0,"Other",0,0,0,0,0,1,35.86166
84.25,1775,"Colombia","2015","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
84.25,442,"Colombia","2015","Caturra","Natural / Dry",3,0,0,0,0,0,"Caturra",0,0,1,0,0,0,4.570868
84.25,1620,"Tanzania, United Republic Of","2014","Other","Washed / Wet",7,0,0,0,0,1,"Other",0,0,0,0,0,0,NA
84.25,1700,"Colombia","2013","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
84.17,1700,"Guatemala","2017","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
84.17,1565,"Guatemala","2016","Caturra","Washed / Wet",10,1,0,0,0,1,"Caturra",0,0,1,0,0,0,15.783471
84.17,1850,"Costa Rica","2014","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.748917
84.17,1606.5,"Ethiopia","2014","Gesha","Natural / Dry",5,0,0,0,0,0,"Other",0,0,0,0,0,0,9.145
84.17,1530,"Colombia","2014/2015","Other","Washed / Wet",4,0,0,0,0,1,"Other",0,0,0,0,0,0,4.570868
84.17,250.5,"Kenya","2013","SL28","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,0.023559
84.17,1750,"Colombia","2012","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
84.08,1775,"Colombia","2014","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
84.08,1550,"Guatemala","2014","Bourbon","Washed / Wet",10,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
84,1800,"Ethiopia","2017","Gesha","Natural / Dry",4,11,0,0,0,0,"Other",0,0,0,0,0,0,9.145
84,1500,"Honduras","2017","Caturra","Washed / Wet",5,0,0,0,0,1,"Caturra",0,0,1,0,0,0,15.199999
84,371.61216,"Guatemala","2014","Bourbon","Natural / Dry",1,0,0,0,0,0,"Bourbon",1,0,0,0,0,0,15.783471
84,371.61216,"Guatemala","2014","Bourbon","Other",0,0,1,0,0,0,"Bourbon",1,0,0,0,0,0,15.783471
84,1775,"Colombia","2014","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
84,1550,"Ethiopia","2013","Other","Natural / Dry",44,0,0,0,0,0,"Other",0,0,0,0,0,0,9.145
84,1260,"Brazil","2013/2014","Yellow Bourbon","Natural / Dry",0,0,0,0,0,0,"Yellow Bourbon",0,0,0,0,1,0,14.235004
84,1700,"Colombia","2013","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
84,1200,"Kenya","2012","SL34","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,0,0.023559
83.92,934,"Brazil","2016","Bourbon","Natural / Dry",7,2,0,0,0,0,"Bourbon",1,0,0,0,0,0,14.235004
83.92,900,"Mexico","2012","Typica","Washed / Wet",42,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
83.83,2527,"Colombia","2017","Caturra","Washed / Wet",7,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
83.83,1676.5,"Ethiopia","2014","","Natural / Dry",4,0,0,0,0,0,"Other",0,0,0,0,0,0,9.145
83.83,1300,"Costa Rica","2013","Catuai","Washed / Wet",3,0,0,0,0,1,"Catuai",0,1,0,0,0,0,9.748917
83.83,800,"Ecuador","2013","","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,0,1.831239
