"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
82.83,900,8,0,0,0,0,0,0,1,0,0,0,0,9.831
82.67,950,0,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.83,1300,8,0,1,0,0,0,0,0,0,1,0,0,9.57066666666667
83.83,1200,1,0,0,0,1,0,1,0,0,0,0,0,9.831
81.67,1500,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
81.17,1450,4,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
83,1500,2,0,0,0,0,1,1,0,0,0,0,0,9.831
81,1350,1,0,0,0,0,0,0,0,1,0,0,0,9.57066666666667
79.17,1550,8,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.5,1600,19,0,0,0,0,0,0,0,0,0,0,0,9.57066666666667
79.42,371.61216,2,0,0,0,0,1,1,0,0,0,0,0,9.6065
84,371.61216,0,0,1,0,0,0,1,0,0,0,0,0,9.57066666666667
83.17,1380,5,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
84.67,1200,3,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.67,1400,0,0,0,0,0,1,0,0,0,1,0,0,9.50733333333333
83.67,1625,4,0,0,0,0,1,0,0,1,0,0,0,9.831
82.75,1625,0,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
84.25,1700,33,0,0,0,0,0,0,0,0,0,0,0,9.50733333333333
83.83,1260,0,0,0,0,0,0,0,0,0,0,1,0,9.57066666666667
82.33,600,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
80.75,1450,2,0,0,0,0,0,0,0,1,0,0,0,9.831
82.33,1100,0,0,0,0,0,0,1,0,0,0,0,0,9.831
84,371.61216,1,0,0,0,0,0,1,0,0,0,0,0,9.57066666666667
85.42,1900,18,0,0,0,0,1,0,0,0,0,0,0,9.831
80.08,1300,18,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.75,1500,2,0,0,0,0,1,0,0,0,0,0,1,9.831
82.75,1442,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
81,1100,0,0,0,0,1,0,0,0,0,1,0,1,9.57066666666667
87.17,1320,0,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
83.83,399.483072,3,0,0,0,0,1,1,0,0,0,0,0,9.6065
82.42,1600,0,0,0,0,0,1,0,0,0,0,0,1,9.831
83.33,1200,3,0,0,0,0,1,0,1,0,0,0,0,9.6065
83.58,1550,0,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
80.25,700,0,0,0,0,1,0,0,0,0,1,0,1,9.57066666666667
