"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
89.92,2075,"Ethiopia","2014","Other","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
89,2000,"Ethiopia","2014","","Natural / Dry",2,0,0,0,0,0,"Other",0,0,0,0,0,0,9.57066666666667
88.08,1905,"Ethiopia","2014","","Natural / Dry",1,0,0,0,0,0,"Other",0,0,0,0,0,0,9.57066666666667
87.92,1943,"United States","2014","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1,9.57066666666667
87.58,2080,"United States","2014","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1,9.57066666666667
87.08,2112,"United States","2014","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1,9.57066666666667
86.58,1200,"Taiwan","2015","Sumatra","Pulped natural / honey",0,0,0,1,0,0,"Other",0,0,0,0,0,1,9.831
86.17,1941,"United States","2014","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1,9.57066666666667
86.08,1000,"Taiwan","2015","Bourbon","Semi-washed / Semi-pulped",0,0,0,0,1,0,"Bourbon",1,0,0,0,0,1,9.831
86.08,1754,"Kenya","2014","SL28","Natural / Dry",2,0,0,0,0,0,"Other",0,0,0,0,0,0,9.57066666666667
86.08,1250,"Brazil","2011","Bourbon","Semi-washed / Semi-pulped",2,0,0,0,1,0,"Bourbon",1,0,0,0,0,0,9.516
86,1860,"Kenya","2013","SL28","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0,9.6065
85.92,1800,"Colombia","2013","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.6065
85.75,1700,"Papua New Guinea","2012","","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0,9.50733333333333
85.5,1680,"Panama","2014","Caturra","Natural / Dry",4,0,0,0,0,0,"Caturra",0,0,1,0,0,0,9.57066666666667
85.5,1900,"Kenya","2014","SL28","Natural / Dry",3,0,0,0,0,0,"Other",0,0,0,0,0,0,9.57066666666667
85.33,1770,"Guatemala","2014","Pacamara","Natural / Dry",1,0,0,0,0,0,"Other",0,0,0,0,0,0,9.57066666666667
85.33,1200,"Kenya","2012","SL34","Washed / Wet",6,0,0,0,0,1,"Other",0,0,0,0,0,0,9.50733333333333
85.17,1400,"Guatemala","2012","Caturra","Washed / Wet",7,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.50733333333333
85.08,2136,"Colombia","2012","Caturra","Natural / Dry",8,0,0,0,0,0,"Caturra",0,0,1,0,0,0,9.50733333333333
85,1100,"Brazil","2012","Mundo Novo","Natural / Dry",3,0,0,0,0,0,"Other",0,0,0,0,0,0,9.50733333333333
84.75,1800,"Kenya","2014","SL34","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
84.67,1600,"Guatemala","2015","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.831
84.67,1900,"Ethiopia","2014","Ethiopian Yirgacheffe","Washed / Wet",3,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
84.67,1200,"Costa Rica","2014","Catuai","Washed / Wet",4,0,0,0,0,1,"Catuai",0,1,0,0,0,0,9.57066666666667
84.67,1550,"Colombia","2013","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.6065
84.58,1300,"Brazil","2011","Bourbon","Semi-washed / Semi-pulped",2,0,0,0,1,0,"Bourbon",1,0,0,0,0,0,9.516
84.5,1680,"China","2015","Catimor","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,1,9.831
84.5,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.6065
84.5,2000,"Kenya","2012","SL28","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,9.50733333333333
84.25,1200,"Thailand","2015","Catimor","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,0,9.831
84.25,1400,"China","2015","Catimor","Natural / Dry",1,0,0,0,0,0,"Other",0,0,0,0,0,1,9.831
84.25,1700,"Colombia","2013","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.6065
84.17,1150,"Brazil","2015","Catuai","Natural / Dry",16,0,0,0,0,0,"Catuai",0,1,0,0,0,0,9.831
84.17,1850,"Costa Rica","2014","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.57066666666667
84.17,1400,"Tanzania, United Republic Of","2014","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
84.17,1530,"Colombia","2015","Other","Washed / Wet",4,0,0,0,0,1,"Other",0,0,0,0,0,0,9.831
84.17,1500,"El Salvador","2013","Bourbon","Natural / Dry",2,0,0,0,0,0,"Bourbon",1,0,0,0,0,0,9.6065
84.08,1775,"Colombia","2014","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.57066666666667
84.08,1480,"Mexico","2012","Typica","Washed / Wet",11,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
84,1550,"Ethiopia","2013","Other","Natural / Dry",44,0,0,0,0,0,"Other",0,0,0,0,0,0,9.6065
84,1260,"Brazil","2014","Yellow Bourbon","Natural / Dry",0,0,0,0,0,0,"Yellow Bourbon",0,0,0,0,1,0,9.57066666666667
84,1200,"Kenya","2012","SL34","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,0,9.50733333333333
83.92,1550,"Colombia","2014","Caturra","Natural / Dry",3,0,0,0,0,0,"Caturra",0,0,1,0,0,0,9.57066666666667
