"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
84.08,1550,10,0,0,0,1,1,0,0,0,0,0,9.57066666666667
81.92,1250,4,0,0,0,1,0,0,0,0,0,0,9.57066666666667
84.67,1750,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
82.25,1250,13,0,0,0,1,0,0,0,1,0,1,9.50733333333333
85.5,1900,7,0,0,0,0,0,0,0,0,0,0,9.831
80.75,520.257024,1,0,0,0,1,0,0,1,0,0,0,9.831
80.17,399.483072,5,0,0,0,1,1,0,0,0,0,0,9.50733333333333
85.25,1550,2,0,0,0,0,0,0,1,0,0,0,9.57066666666667
81.17,1200,10,0,0,0,1,0,0,1,0,0,1,9.831
83.25,1500,1,0,0,0,1,0,0,1,0,0,0,9.57066666666667
79,1300,12,0,0,0,0,0,0,0,0,0,1,9.50733333333333
84.25,1775,3,0,0,0,1,0,0,1,0,0,0,9.831
83.17,250.5,1,0,0,0,1,0,0,0,0,0,0,9.57066666666667
81.58,850,0,0,0,1,0,0,0,0,1,0,1,9.57066666666667
83.33,1750,1,0,0,0,1,0,0,1,0,0,0,9.50733333333333
79.67,800,0,0,0,0,1,0,0,0,0,0,0,9.6065
79.92,1250,6,0,0,0,0,0,0,0,1,0,1,9.50733333333333
83.83,800,0,0,0,0,0,0,0,0,0,0,0,9.6065
84.25,1400,4,0,0,0,1,1,0,0,0,0,1,9.50733333333333
87.17,1320,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
86,1650,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
82.92,1200,1,0,0,0,1,0,0,0,0,0,0,9.831
83.5,1350,3,0,0,0,0,0,0,1,0,0,0,9.831
82.5,1775,4,0,0,0,1,0,0,1,0,0,0,9.50733333333333
82.42,1775,9,0,0,0,1,0,0,1,0,0,0,9.6065
80.17,1550,3,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.08,1400,1,0,0,0,1,0,0,0,0,0,1,9.50733333333333
82.42,1750,2,0,0,0,1,0,0,1,0,0,0,9.516
84.92,800,0,0,0,1,0,0,0,0,1,0,1,9.831
73.83,1250,19,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.58,1400,9,0,0,0,1,0,0,0,1,0,1,9.6065
84.25,1170,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
82.83,900,8,0,0,0,0,0,1,0,0,0,0,9.831
74.33,1140,14,0,0,0,1,0,0,0,1,0,1,9.50733333333333
77.5,1300,3,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.92,520.257024,2,0,0,0,1,1,0,0,0,0,0,9.6065
84.17,1775,0,0,0,0,1,0,0,1,0,0,0,9.831
78.75,1320,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
75.17,1200,20,0,0,0,1,0,0,0,0,0,1,9.50733333333333
81.67,940,4,0,0,1,0,0,0,1,0,0,1,9.50733333333333
84.17,1750,2,0,0,0,1,0,0,1,0,0,0,9.50733333333333
84,371.61216,1,0,0,0,0,1,0,0,0,0,0,9.57066666666667
80.67,1550,5,0,0,0,1,1,0,0,0,0,0,9.6065
84.42,900,6,0,0,0,1,0,0,0,0,0,1,9.50733333333333
79.08,260.128512,0,0,0,0,1,0,0,0,0,0,0,9.6065
80.5,3800,2,0,0,0,1,0,0,0,0,0,0,9.831
86.25,1775,3,0,0,0,0,0,0,0,0,0,0,9.57066666666667
77.92,1200,6,0,0,0,1,0,0,1,0,0,0,9.57066666666667
83.83,1850,0,0,0,0,1,0,0,1,0,0,0,9.831
80.17,399.483072,2,0,0,0,1,1,0,0,0,0,0,9.6065
81.42,1400,1,0,0,0,1,0,1,0,0,0,0,9.831
84.58,1750,2,0,0,0,1,0,0,1,0,0,0,9.50733333333333
81.92,1877,4,0,0,0,1,0,0,0,0,0,0,9.57066666666667
81.08,1300,2,0,0,0,1,0,0,0,1,0,1,9.50733333333333
77.25,825,1,0,0,0,1,0,0,0,1,0,0,9.6065
82.83,1550,12,0,0,0,1,0,0,1,0,0,1,9.50733333333333
80.25,4287,1,0,0,0,0,0,1,0,0,0,0,9.57066666666667
80.67,1550,1,0,0,0,0,0,0,1,0,0,0,9.57066666666667
81.5,1200,3,0,0,0,1,0,0,1,0,0,0,9.57066666666667
82.83,1800,8,0,0,0,0,0,0,0,1,0,0,9.6065
82.17,1700,1,0,0,0,1,0,0,0,0,0,0,9.57066666666667
83.5,464.5152,5,0,0,0,1,0,0,1,0,0,0,9.50733333333333
