"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical"
82.58,1750,3,0,0,0,1,0,0,1,0,0,0
82.67,1700,0,0,0,0,1,0,0,0,0,0,0
83,1750,0,0,0,0,1,0,0,1,0,0,0
82.75,650,0,0,0,0,0,0,0,0,0,1,1
84,1260,0,0,0,0,0,0,0,0,0,1,0
83.17,890,4,0,0,0,0,1,0,0,0,0,0
84.33,1800,0,0,0,0,1,0,0,1,0,0,0
81.33,1000,4,0,0,0,1,0,0,0,1,0,1
85.83,431.999136,1,0,0,0,1,0,1,0,0,0,0
75.58,399.483072,15,0,0,0,1,1,0,0,0,0,0
78,850,9,0,0,0,1,0,0,0,0,0,1
81.67,890,5,0,0,0,0,1,0,0,0,0,0
83.17,1600,3,0,0,0,1,0,0,0,0,0,1
83.92,1775,1,0,0,0,1,0,0,1,0,0,0
81.92,1550,7,0,0,0,1,0,1,0,0,0,0
81.58,1260,3,0,0,0,1,0,0,0,0,1,0
83.25,800,0,0,0,0,1,0,0,0,1,0,1
84.67,2000,0,0,0,0,1,0,0,0,0,0,0
84.42,1400,3,1,0,0,0,0,0,0,0,0,0
82.75,905,1,0,1,0,0,0,0,0,0,1,0
84.17,1850,0,0,0,0,1,0,0,1,0,0,0
82,650,0,0,0,0,1,0,0,0,1,0,1
80.92,1901,2,0,0,0,1,1,0,0,0,0,0
81.67,1650,14,0,0,0,1,0,0,0,1,0,1
84.17,1700,1,0,0,0,1,1,0,0,0,0,0
80.25,900,2,0,0,0,1,0,0,1,0,0,0
80.17,1000,12,0,0,0,1,1,0,0,0,0,1
78.75,1250,0,0,0,1,0,0,0,0,1,0,1
80.92,1186,12,0,0,0,1,0,0,0,1,0,1
83.42,1450,2,0,0,0,1,0,0,1,0,0,0
83.33,1650,0,0,0,0,1,0,0,1,0,0,0
84.58,1800,6,0,0,0,1,0,0,1,0,0,0
83.08,905,2,0,1,0,0,0,0,0,0,1,0
83.17,1000,3,0,0,1,0,0,0,0,0,0,0
82.75,1400,6,0,0,0,0,0,0,1,0,0,0
80.92,200,0,0,0,0,1,0,0,0,0,0,1
73.42,1350,17,0,0,0,1,0,0,0,0,0,0
79,1400,4,0,0,0,1,0,0,0,1,0,0
79.17,1550,8,0,0,0,1,0,0,0,1,0,1
81.25,464.5152,4,0,0,0,1,0,0,1,0,0,0
82.42,1700,2,0,0,0,1,1,0,0,0,0,0
81.42,1750,0,0,0,0,0,0,0,1,0,0,0
82,940,1,0,0,0,1,0,0,0,1,0,1
81.25,1700,5,0,0,0,1,0,0,0,0,0,0
77.33,371.61216,3,0,0,0,1,0,0,0,0,0,0
81.75,1550,24,0,0,0,1,0,0,1,0,0,1
80.33,1700,5,0,0,0,1,1,0,0,0,0,0
82.75,1200,0,0,0,0,1,0,0,0,1,0,1
81.08,1300,2,0,0,0,1,0,0,0,1,0,1
80.58,1200,3,0,0,1,0,1,0,0,0,0,0
84.58,464.5152,1,0,0,0,1,0,0,0,0,0,0
83.75,1400,0,0,0,0,0,1,0,0,0,0,0
81.92,1000,0,0,0,0,1,1,0,0,0,0,1
84.58,1500,4,0,0,0,1,0,0,0,0,0,0
84.67,1600,1,0,0,0,1,1,0,0,0,0,0
83.58,1550,1,0,0,0,1,0,0,1,0,0,0
79.17,1320,6,0,0,0,1,1,0,0,0,0,0
85.42,1250,1,0,0,1,0,1,0,0,0,0,0
81.92,1020,4,0,0,0,0,0,1,0,0,0,0
82,1400,5,0,0,0,1,0,0,1,0,0,0
84.58,1800,2,0,0,0,1,0,0,0,0,0,0
84.92,1620,2,0,0,0,1,0,0,0,0,0,0
82.33,1396,8,0,0,0,1,0,0,1,0,0,0
82.58,1250,6,0,0,0,1,0,0,0,1,0,1
81.42,1100,18,0,0,0,1,0,0,0,0,0,1
81.58,1800,5,0,0,0,1,0,0,0,0,0,0
83.58,343.92705408,0,0,0,0,1,0,0,1,0,0,0
82.5,1250,4,0,0,1,0,1,0,0,0,0,0
85.92,1650,0,0,0,0,0,0,0,0,0,0,0
82.42,1600,1,0,0,0,1,0,0,1,0,0,0
83.5,371.61216,5,0,0,0,1,1,0,0,0,0,0
84.17,1000,0,0,0,0,0,0,0,1,0,0,0
78.5,1600,0,0,0,0,1,1,0,0,0,0,1
83.42,371.61216,1,0,0,0,0,1,0,0,0,0,0
75.17,1200,20,0,0,0,1,0,0,0,0,0,1
81.92,1250,4,0,0,0,1,0,0,0,0,0,0
81.58,1650,2,0,0,0,0,0,0,0,1,0,1
81.83,1300,8,1,0,0,0,0,0,0,1,0,0
81.5,1100,3,0,0,0,0,0,0,0,1,0,1
82.42,442,2,0,0,0,0,0,0,1,0,0,0
83.5,1775,4,0,0,0,1,0,0,1,0,0,0
80.92,464.5152,7,0,0,0,1,0,0,0,0,0,0
81.5,1400,5,0,0,0,1,0,0,1,0,0,0
84.17,1565,10,0,0,0,1,0,0,1,0,0,0
82.08,1500,5,0,0,0,1,1,0,0,0,0,0
84.5,1200,2,0,0,0,1,0,0,1,0,0,0
80.92,550,0,0,0,0,1,0,0,0,1,0,1
82,1650,20,0,0,0,1,0,0,0,0,0,0
80.5,1650,5,0,0,0,1,0,1,0,0,0,0
83.58,1775,3,0,0,0,1,0,0,1,0,0,0
81.17,1300,3,0,0,0,1,0,1,0,0,0,0
82.25,1775,0,0,0,0,1,0,0,1,0,0,0
82.92,520.257024,2,0,0,0,1,1,0,0,0,0,0
81.83,48.12377472,2,0,0,0,1,1,0,0,0,0,0
83.5,1170,14,0,0,0,0,1,0,0,0,0,1
82.17,1200,1,0,0,0,1,0,0,0,1,0,1
81.75,1750,1,0,0,0,1,0,0,1,0,0,0
82.75,165,0,0,0,0,1,0,0,0,1,0,0
81.08,695,13,0,0,0,0,0,0,0,0,0,0
82,944,3,0,0,0,0,1,0,0,0,0,0
82.75,1200,5,0,0,0,0,0,0,0,1,0,1
83.33,1227,6,0,0,1,0,0,1,0,0,0,0
83.75,890,5,0,0,0,0,1,0,0,0,0,0
82.92,1400,5,0,0,0,1,0,0,0,1,0,1
83.08,1400,1,0,0,0,1,0,0,0,0,0,1
81.92,371.61216,0,0,0,0,1,1,0,0,0,0,0
81.83,1775,2,0,0,0,1,0,0,1,0,0,0
81.83,1556,0,0,0,0,1,0,0,0,0,0,0
82.83,1250,7,0,0,0,1,1,0,0,0,0,1
80.92,1200,8,0,0,0,0,0,0,0,0,1,0
81.5,1200,3,0,0,0,1,0,0,1,0,0,0
80.92,1600,3,0,0,0,1,0,0,0,0,0,0
82.33,1850,9,0,0,0,1,0,0,1,0,0,0
81.42,399.483072,4,0,0,0,1,1,0,0,0,0,0
85.83,1600,0,0,0,0,1,0,0,0,0,0,0
82.5,1600,1,0,0,0,1,0,0,0,0,0,0
80.42,1450,1,0,0,0,1,1,0,0,0,0,0
82.08,1300,7,0,0,0,1,0,0,0,1,0,1
83.58,1550,0,0,0,0,1,0,0,1,0,0,0
83.92,1500,2,0,0,0,1,0,0,0,1,0,1
80,250,0,0,0,0,1,0,0,0,1,0,1
77.67,775,0,0,0,0,1,0,0,0,1,0,1
75.83,1000,2,0,0,0,1,0,0,0,0,0,0
83.67,1250,3,0,0,0,1,0,0,1,0,0,0
79.83,1700,2,0,0,0,1,1,0,0,0,0,0
83.67,1450,1,0,0,0,0,0,0,1,0,0,0
85.08,1700,9,0,0,0,0,0,0,0,0,0,0
82.5,371.61216,2,0,0,0,1,1,0,0,0,0,0
81,1600,4,0,0,0,1,0,0,1,0,0,0
85.25,1550,0,0,0,0,1,0,0,1,0,0,0
82.33,1300,3,0,0,0,1,0,0,0,1,0,1
84.08,1480,11,0,0,0,1,0,0,0,1,0,1
89,2000,2,0,0,0,0,0,0,0,0,0,0
82.58,1650,0,0,0,0,0,0,0,0,0,0,0
89.92,2075,1,0,0,0,1,0,0,0,0,0,0
83.67,890,2,0,0,0,0,1,0,0,0,0,0
80.5,566.708544,2,0,0,0,1,1,0,0,0,0,0
85.08,2136,8,0,0,0,0,0,0,1,0,0,0
82.92,1059,3,0,0,0,0,0,0,0,1,0,1
81.42,1422,0,0,0,0,1,0,0,0,0,0,0
83.33,1100,0,0,0,0,1,0,0,0,0,0,1
79.92,1100,3,0,0,0,1,0,1,0,0,0,1
82.83,1400,5,0,0,0,1,0,0,0,0,0,0
79.75,1000,0,0,0,0,0,0,0,0,1,0,1
83,1645,8,0,0,0,0,1,0,0,0,0,0
81.67,1450,2,0,0,0,1,0,1,0,0,0,0
81.17,1200,4,0,0,0,0,0,0,0,1,0,0
87.25,1450,0,0,0,0,1,0,0,0,0,0,1
82.92,1900,2,0,0,0,1,0,0,1,0,0,0
83.83,371.61216,1,0,0,0,1,1,0,0,0,0,0
77.42,399.483072,17,0,0,0,1,1,0,0,0,0,0
84.42,1200,0,0,0,0,1,0,0,0,1,0,1
80.67,1200,4,0,0,0,1,0,0,0,1,0,1
82.08,13,2,0,0,0,1,0,0,1,0,0,0
